puissance_electrique_maximale_appelee_en_KVA,moyenne_saisonniere,mois,Puissance_souscrite_opt
117,117,Janvier,120
124,117,Fevrier,120
118,117,Mars,120
112,117,Avril,120
233,271,Mai,120
244,271,Juin,280
286,271,Juillet,280
324,271,Aout,280
283,194,Septembre,280
242,194,Octobre,120
131,194,Novembre,120
121,194,Decembre,120
107,108,Janvier,100
109,108,Fevrier,100
123,108,Mars,100
94,108,Avril,100
99,242,Mai,100
247,242,Juin,305
313,242,Juillet,305
312,242,Aout,305
308,225,Septembre,305
235,225,Octobre,100
235,225,Novembre,100
124,225,Decembre,100
127,160,Janvier,130
189,160,Fevrier,130
119,160,Mars,130
206,160,Avril,130
283,319,Mai,130
296,319,Juin,300
366,319,Juillet,300
332,319,Aout,300
299,193,Septembre,300
167,193,Octobre,130
186,193,Novembre,130
123,193,Decembre,130
127,160,Janvier,125
189,160,Fevrier,125
119,160,Mars,125
206,160,Avril,125
283,315,Mai,125
296,315,Juin,295
366,315,Juillet,295
316,315,Aout,295
289,162,Septembre,295
100,162,Octobre,125
132,162,Novembre,125
127,162,Decembre,125
175,165,Janvier,145
147,165,Fevrier,145
125,165,Mars,145
213,165,Avril,145
170,286,Mai,145
286,286,Juin,310
334,286,Juillet,310
357,286,Aout,310
312,216,Septembre,310
267,216,Octobre,145
142,216,Novembre,145
144,216,Decembre,145
197,138,Janvier,100
134,138,Fevrier,100
140,138,Mars,100
82,138,Avril,100
129,189,Mai,100
135,189,Juin,350
173,189,Juillet,350
319,189,Aout,350
222,211,Septembre,350
224,211,Octobre,100
261,211,Novembre,100
140,211,Decembre,100